date,cash,positions_value,total_equity,day_pnl,day_pnl_pct,benchmark_value
2026-03-11,300333.84,699662.46,999996.3,0.0,0.0,3417.78
2026-03-12,300333.84,683693.23,984027.07,-15969.23,-1.6,3347.49
2026-03-14,300333.84,686320.86,986654.7,2627.63,0.27,3340.96
2026-03-16,300333.84,696683.04,997016.88,10362.18,1.05,3365.25
2026-03-17,388485.31,606370.7,994856.01,-2160.87,-0.22,3395.06
2026-03-19,496823.66,505419.03,1002242.69,7386.68,0.74,6606.49
2026-03-23,496823.66,500846.47,997670.13,-4572.56,-0.46,3359.47
2026-03-24,496823.66,537225.66,1034049.32,36379.19,3.65,3384.8
2026-03-25,125232.19,916766.95,1041999.14,7949.82,0.77,3413.98
2026-03-26,91187.99,927734.49,1018922.48,-23076.66,-2.21,3365.63
2026-03-27,91187.99,913411.22,1004599.21,-14323.27,-1.41,65.32
2026-03-28,91187.99,913411.22,1004599.21,0.0,0.0,34.78
2026-03-29,91187.99,913411.22,1004599.21,0.0,0.0,68.87
2026-03-30,534970.52,452797.34,987767.86,-16831.35,-1.68,35.68
2026-03-31,534970.52,462696.96,997667.48,9899.62,1.0,3376.35
2026-04-01,164126.45,840978.43,1005104.88,7437.4,0.75,3405.0
2026-04-02,13745.36,1003884.95,1017630.31,12525.43,1.25,3408.16
2026-04-03,13745.36,1003884.95,1017630.31,0.0,0.0,277700.0
2026-04-06,1281.36,1018610.02,1019891.38,2261.07,0.22,49.53
2026-04-07,1281.36,1014906.7,1016188.06,-3703.32,-0.36,4.26
