date,cash,positions_value,total_equity,day_pnl,day_pnl_pct,benchmark_value
2026-01-30,6662.23,43291.95,49954.18,-0.0,-0.0,2613.74
2026-01-31,13109.25,36844.93,49954.18,0.0,0.0,2613.74
2026-02-02,2494.51,48023.39,50517.9,0.0,0.0,2640.28
2026-02-05,-3104.09,54150.43,51046.34,-93.94,-0.18,2574.35
2026-02-06,5.38,53126.4,53131.78,1909.53,3.73,2660.75
2026-02-11,293.53,54400.32,54693.85,1562.07,2.94,2669.47
2026-02-16,293.53,54586.78,54880.31,186.46,0.34,2646.7
2026-02-24,-158.64,56694.52,56535.88,1655.57,3.02,2652.33
2026-02-25,2122.5,54170.72,56293.22,-242.66,-0.43,2663.33
2026-02-26,104.77,55710.2,55814.97,-478.25,-0.85,2677.29
2026-02-27,104.77,55198.54,55303.31,-511.66,-0.92,2677.29
2026-02-28,104.77,55810.92,55915.69,612.38,1.11,2632.36
2026-03-01,104.77,55810.92,55915.69,0.0,0.0,2632.36
2026-03-02,1348.91,55210.76,56559.67,643.98,1.15,2655.94
2026-03-03,1141.71,54911.61,56053.32,-506.35,-0.9,324.87
2026-03-04,106.84,56991.97,57098.81,1045.49,1.87,222.99
2026-03-05,2673.06,53245.01,55918.07,-1180.74,-2.07,2585.57
2026-03-06,10164.35,41970.58,52134.93,-3783.14,-6.77,218.61
